spotify_id,name,artists,album_name,duration_ms,album_release_date
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,Blonde,184516,2016-08-20
5H4MSA6eIr6x1iBTn1vpMG,Semenjak Ada Dirimu,"Yovie Widianto, Hivi!",Semenjak Ada Dirimu,226956,2024-08-22
3mg9jYNC1NihbthlglzrWP,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,298130,2024-11-08
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",One Thing At A Time,181621,2023-03-03
5bY4g7cLyasuuhthJ7Mdlh,Sampai Menutup Mata,Mahalini,Sampai Menutup Mata,248666,2024-09-06
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",PRIMERA MUSA,224022,2024-09-20
6i5qhmmF9UNUBRyrPSGn4m,Two Faced,Linkin Park,From Zero,183584,2024-11-15
35D1RA5uVFVhMc1qX80TaQ,Balloon (feat. Doechii),"Tyler, The Creator, Doechii",CHROMAKOPIA,154261,2024-10-28
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,I'll Be There,181677,2024-10-25
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),155757,2024-10-03
1YdtGoSYDvVQKoUqSDXX41,Noid,"Tyler, The Creator",CHROMAKOPIA,284363,2024-10-28
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,191700,2023-07-28
1uFW6czrHk5PsK3s6gOI7C,Se Fue,"Rauw Alejandro, Laura Pausini",Cosa Nuestra,240179,2024-11-15
5mFZipkX1HZ4Idz5LOWpzq,Cut the Bridge,Linkin Park,From Zero,228606,2024-11-15
3k4gjmYNJugQRlh2aounZ9,Over Each Other,Linkin Park,From Zero,170445,2024-11-15
7BkzAHnNW7WfrT4NcLaUDx,Casualty,Linkin Park,From Zero,140915,2024-11-15
7diOv6wm3ngF7Vt6ubK0Sf,Overflow,Linkin Park,From Zero,211027,2024-11-15
0J1IJsMbKWb5g2sJArTkGF,Stained,Linkin Park,From Zero,185414,2024-11-15
2eQFYGegTZaObk2kuBz83Z,Tú Con Él,Rauw Alejandro,Cosa Nuestra,289131,2024-11-15
0xGQTpN4ESETtl1Sp6rzd2,São Paulo (feat. Anitta),"The Weeknd, Anitta",São Paulo,301623,2024-10-31
4CcozggmhXmndssEDH6YHR,High Road,Zach Bryan,High Road,199893,2024-11-07
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,Fireworks & Rollerblades,161831,2024-04-05
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,Mantra,136627,2024-10-10
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,164571,2020-02-10
5AH31dDNgxCMGDdxubNNn4,NEL,Fuerza Regida,PERO NO TE ENAMORES,149073,2024-07-25
2Dct3GykKZ58hpWRFfe2Qd,Heading South,Zach Bryan,Heading South,171692,2019-09-30
304FEq5eVvrxur9KdHhC5I,Akhir Tak Bahagia,Misellia,Penyendiri,183218,2023-01-27
6s1kzj4EbhFLXbuAGJbhbn,Barbie,"MC Tuto, DJ Glenner",Barbie,192755,2024-10-18
2esZG2XFtuoWWA9AfDvSxy,Gata Only,"FloyyMenor, Cris Mj",EL COMIENZO,222000,2024-08-09
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,Layover,182293,2023-08-11
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,yustyna,142514,2024-07-11
4CD5aJNhq5fGYu3QaHJrm8,This World's A Giant,Zach Bryan,This World's A Giant,216160,2024-11-07
6ie0uyyvOKTTuIFBMPiNIl,Judge Judy,"Tyler, The Creator",CHROMAKOPIA,269622,2024-10-28
4BSR9I4ExlCJdXJo2GpBD5,Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, The Creator, Daniel Caesar, LaToiya Williams",CHROMAKOPIA,253909,2024-10-28
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,HARDSTONE PSYCHO,217333,2024-06-14
3GYlZ7tbxLOxe6ewMNVTkw,TV,Billie Eilish,Guitar Songs,281380,2022-07-21
3Umj02ZNl4d356pS1D38mn,Hey Jane,"Tyler, The Creator",CHROMAKOPIA,240742,2024-10-28
3GdwjAsCsoE79ObhsJFyYb,I Killed You,"Tyler, The Creator",CHROMAKOPIA,168420,2024-10-28
4QTlxavdQGUVitxAvQqqkU,Mmhmm,BigXthaPlug,THE BIGGEST,119015,2023-12-01
3yw3m8wgRB4ptDyAvtdhq5,Tomorrow,"Tyler, The Creator",CHROMAKOPIA,182326,2024-10-28
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,One of Wun,144000,2024-05-10
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,Disease,229997,2024-10-25
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,178426,2019-08-23
